Anno Accademico 2023/2024
Laurea magistrale in PSICOLOGIA DEL CICLO DI VITA
Per maggiori informazioni vai su http://www.unipa.it/struttura.html?id=1485
---------
Classe di Laurea magistrale in Psicologia (LM-51)
Durata 2 anni
Sede PALERMO
Accesso libero
Dipartimento di Scienze Psicologiche, Pedagogiche, dell’Esercizio Fisico e della Formazione
Codice corso 2149
---------
Insegnamenti primo anno
Codice materia	Nome materia	Docente	CFU	Periodo	SSD
19721	LABORATORIO CONOSCENZA LINGUA INGLESE (B2)		6	1° semestre	
23241	PSICOLOGIA DELLO SVILUPPO TIPICO E ATIPICO C.I.	ALESI	12	1° semestre	
	PSICOLOGIA PEDIATRICA DAL PRENATALE ALL'ADOLESCENZA	POLIZZI	6		M-PSI/04
	STRUMENTI E TECNICHE PER LA VALUTAZIONE SVILUPPO TIPICO E ATIPICO	ALESI	6		M-PSI/04
23274	CYBERPSYCHOLOGY NEL CICLO DI VITA	CACI	6	1° semestre	M-PSI/01
23275	METODI DI RICERCA PSICOLOGICA E ANALISI DEI DATI	INGOGLIA	6	1° semestre	M-PSI/03
06142	PSICOPATOLOGIA DELLO SVILUPPO	PIAZZA	6	2° semestre	M-PSI/07
23245	STRUMENTI E TECNICHE PER LA PROGETTAZIONE E L'ORIENTAMENTO C.I.	INGUGLIA	12	2° semestre	
	PROGETTAZIONE DI INTERVENTI PSICOLOGICI	INGUGLIA	6		M-PSI/04
	STRUMENTI E TECNICHE DI ORIENTAMENTO NEL CICLO DI VITA	LO COCO	6		M-PSI/04
23259	DEONTOLOGIA PROFESSIONALE E ASPETTI ETICI (LAB. TPV INT.)		1	2° semestre	
23273	NEUROPSICOLOGIA DELLO SVILUPPO E DELL'INVECCHIAMENTO	TURRIZIANI	6	2° semestre	M-PSI/02
23454	INTERV. NEUROPSICOLOGICI E DI SUPP.NELL' INVECCHIAMENTO  (LAB.TPV INT)	TURRIZIANI	1	2° semestre	
23455	PERCORSO PSICODIAGNOSTICO IN AMBITO CLINICO E GIURIDICO  (LAB TPV INT)	MANNA	1	2° semestre	
23456	METODI DI VALUTAZIONE DI EVIDENCE BASED PROGRAMS (LAB. TPV INT.)	INGOGLIA	1	2° semestre	
23457	TECNICHE DI POTENZIAMENTO COGNITIVO NEL CICLO DI VITA  (LAB. TPV INT.)	CACI, CACI	1	2° semestre	
23458	RESOCONTI CLINICI NEL CICLO DI VITA  (LABORATORIO TPV INTERNO)	MIANO, MIANO	1	2° semestre	

Insegnamenti secondo anno
Codice materia	Nome materia	Docente	CFU	Periodo	SSD
17100	MODELLI E INTERVENTI CLINICI SULLA FAMIGLIA	SALERNO	6	1° semestre	M-PSI/07
19097	STRUMENTI E TECNICHE DEL COLLOQUIO NEL CICLO DI VITA	MIANO	6	1° semestre	M-PSI/07
23206	TPV ESTERNO		14	1° semestre	
23242	PSICOLOGIA PER LA SCUOLA E L'APPRENDIMENTO C.I.	ALESI	12	1° semestre	
	PSICOLOGIA SCOLASTICA	D'AMICO	6		M-PSI/04
	DIST.SPECIFICI DI APPRENDIM.NELLO SVILUPPO. VALUT.E TECN.DI INTERVENTO	ALESI	6		M-PSI/04
05917	PROVA FINALE		8	2° semestre	
22485	STRUMENTI DI VALUTAZIONE PSICODINAMICA NEL CICLO DI VITA	MANNA	6	2° semestre	M-PSI/07
	Attiv. form. a scelta dello studente		8		

