Anno Accademico 2023/2024
Laurea magistrale in SCIENZE DELLE PROFESSIONI SANITARIE TECNICHE DIAGNOSTICHE
Per maggiori informazioni vai su http://www.unipa.it/struttura.html?id=747
---------
Classe di Laurea magistrale in Scienze delle professioni sanitarie tecniche (LM/SNT3)
Durata 2 anni
Sede PALERMO
Numero posti in programmazine nazionale: 30
Dipartimento di Biomedicina, Neuroscienze e Diagnostica avanzata
Codice corso 2155
---------
Insegnamenti primo anno
Codice materia	Nome materia	Docente	CFU	Periodo	SSD
22307	PRINCIPI E STRUMENTI DI ECON. AZIEND. APPLICATI AL SETT. SANITARIO C.I		6	1° semestre	
	ECONOMIA E GESTIONE DELLE IMPRESE		3		SECS-P/08
	ECONOMIA ED ORGANIZZAZIONE AZIENDALE	COSENZ	3		SECS-P/07
22313	PSIC. APPL. ALLE REL. SOCIALI, COMUNICAZIONE E DINAMICHE DI GRUPPO C.I		5	1° semestre	
	SOCIOLOGIA DEI PROCESSI CULTURALI E COMUNICATIVI IN AMBITO LAVORATIVO		3		SPS/08
	PSICOLOGIA DEL LAVORO E DELLE ORGANIZZAZIONI		2		M-PSI/01
22314	STATISTICA, EPIDEMIOLOGIA E BIOETICA C.I.	MATRANGA	7	1° semestre	
	STATISTICA PER EPIDEMIOLOGIA E RICERCA	MATRANGA	2		MED/01
	IGIENE GENERALE E APPLICATA	TRAMUTO	3		MED/42
	BIOETICA	CRAXI'	2		MED/02
22305	SCIENZE DELLA FORMAZIONE C.I.	LO IACONO	6	2° semestre	
	FORMAZIONE NELL’ACCREDITAMENTO E VALUTAZIONE IN SANITÀ	MODICA	3		MED/46
	BASI METODOLOGICHE PER LA FORMAZIONE CONTINUA IN SANITÀ	LO IACONO	3		MED/50
22311	METODOLOGIA DELLA RICERCA E DELL’INNOVAZIONE C.I.	TODARO	9	2° semestre	
	METODOLOGIA DELLA RICERCA IN AMBITO SANITARIO	GAGGIANESI	3		MED/46
	SISTEMI DELLE ELABORAZIONI DELLE INFORMAZIONI		3		ING-INF/05
	TECNOLOGIA DELLA RICERCA SCIENTIFICA	TODARO	3		MED/50
22312	DIRITTO SANITARIO E RESPONSABILITÀ ETICO-PROFESSIONALI GIURIDICHE C.I		5	2° semestre	
	DIRITTO DEL LAVORO NELL’UNIONE EUROPEA		3		IUS/07
	MEDICINA LEGALE E RESPONSABILITÀ PROFESSIONALE	ARGO	2		MED/43
22350	TIROCINIO MED/50 I ANNO		4	Annuale	MED/50
22351	TIROCINIO MED/46 I ANNO		4	Annuale	MED/46

Insegnamenti secondo anno
Codice materia	Nome materia	Docente	CFU	Periodo	SSD
04731	LINGUA STRANIERA (INGLESE) (in inglese)		3	1° semestre	
22306	PERCORSO INTERDISCIPLINARE PROFESSIONALIZZANTE I C.I.	MARRALE	6	1° semestre	
	FISICA APPLICATA	MARRALE	3		FIS/07
	DIAGNOSTICA PER IMMAGINI E RADIOTERAPIA	GRASSEDONIO	3		MED/36
22309	PERCORSO INTERDISCIPLINARE PROFESSIONALIZZANTE II C.I.	BELLIA	9	1° semestre	
	MODELLI ORGANIZZATIVI E GESTIONALI DEI SERVIZI TECNICO DIAGNOSTICI	MODICA	3		MED/46
	MICROBIOLOGIA CLINICA	CAPRA	3		MED/07
	BIOCHIMICA CLINICA	BELLIA	3		BIO/12
22354	LABORATORIO DI TECNICHE DIAGNOSTICHE		5	1° semestre	
23489	TIROCINIO MED/50 II ANNO - I SEMESTRE		5	Annuale	MED/50
23497	TIROCINIO MED/46 II ANNO - I SEMESTRE		5	1° semestre	MED/46
22291	PERCORSO INTERDISCIPLINARE PROFESSIONALIZZANTE V C.I.	SALERNO	6	2° semestre	
	HEALTH TECHNOLOGY ASSESSMENT	SALERNO	3		MED/50
	SCIENZE OMICHE NELLA DIAGNOSTICA	TURDO	3		MED/50
22308	PERCORSO INTERDISCIPLINARE PROFESSIONALIZZANTE III C.I.	SALVAGO	6	2° semestre	
	AUDIOLOGIA	SALVAGO	3		MED/32
	SCIENZE TECNICHE DIETETICHE APPLICATE	RANDAZZO	3		MED/49
22310	PERCORSO INTERDISCIPLINARE PROFESSIONALIZZANTE IV C.I.	BADALAMENTI	5	2° semestre	
	ONCOLOGIA  MEDICA	BADALAMENTI	2		MED/06
	GESTIONE DEL RISCHIO CLINICO	LO RE	3		MED/50
22355	PROVA FINALE		6	2° semestre	
23495	TIROCINIO MED/46 II ANNO - II SEMESTRE		6	Annuale	MED/46
23496	TIROCINIO MED/50 II ANNO - II SEMESTRE		6	2° semestre	MED/50
	Insegnamenti di gruppo ADO		6		

